"Qty";"Value";"Device";"Package";"Parts";"Description";"ARTICLE_NUMBER_SCHLEICHER";"CURRENT";"DCR";"IMPEDANCE";"INDUCTANCE";"MF";"MOUNTING";"MPN";"OC_FARNELL";"OC_NEWARK";"REVERSE_VOLTAGE";"TOLERANCE";"TP_SIGNAL_NAME";"VALUE";"VALUE2";"VOLTAGE";
"1";"";"DIODE-SOD323-R";"SOD323-R";"D4";"DIODE";"";"";"";"";"";"";"n.f.";"";"";"";"";"";"";"";"";"";
"1";"";"ML26E";"ML26";"EXP1";"HARTING";"";"";"";"";"";"";"n.f.";"";"unknown";"unknown";"";"";"";"";"";"";
"2";"";"R-EU_0402";"0402";"R37, R45";"RESISTOR, European symbol";"";"";"";"";"";"";"n.f.";"";"";"";"";"";"";"";"";"";
"1";"";"SPU0410HR5H-PB";"SPU0410HR5H-PB";"MIC1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"0R";"R-EU_0402";"0402";"R4, R16, R17, R18, R23, R24, R44";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1,0pF/50V";"C-EU0402";"0402";"C12";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1,5pF/50V";"C-EU0402";"0402";"C13";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"100K/1%";"R-EU_0402";"0402";"R2, R3, R30, R42, R43";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100R/1%";"R-EU_0402";"0402";"R27, R28";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21";"100nF/25V/10%";"C-EU0402";"0402";"C1, C5, C7, C8, C10, C11, C15, C16, C17, C18, C19, C20, C24, C28, C30, C31, C32, C33, C34, C35, C36";"CAPACITOR, European symbol";"RC.067.0150.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"100nF/25V/10%";"C-EU0402";"0402";"C37, C41, C42";"CAPACITOR, European symbol";"RC.067.0150.0";"";"";"";"";"";"n.f.";"";"";"";"";"";"";"";"";"";
"1";"100uF/6,3V/10%";"CPOL-EUD/7343-31R";"D/7343-31R";"C3";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"9";"10K/1%";"R-EU_0402";"0402";"R22, R29, R31, R32, R33, R35, R36, R40, R41";"RESISTOR, European symbol";"RR.110.0097.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10R/1%";"R-EU_R0603";"R0603";"R46, R47";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10nH";"L-EU0402";"0402";"L6";"INDUCTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LQW15AN10NG00D";"";
"5";"10uF/16V/10%";"C-EU0603";"0603";"C2, C4, C26, C27, C29";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uF/16V/10%";"C-EU0603";"0603";"C38";"CAPACITOR, European symbol";"";"";"";"";"";"";"n.f.";"";"";"";"";"";"";"";"";"";
"2";"1125S-SMT-XP";"1125S-SMT-XP";"1125S-SMT-XP";"I2C, SERIAL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"12pF/50V/1%";"C-EU0402";"0402";"C21, C22, C23, C25";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"16.0 Mhz";"XTAL-4-3225";"NX3225";"Q2, Q3";"Classic 4-pin 3.2 x 2.5mm crystal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ABM8-16.000MHZ-7-1-U-T";"";
"2";"1K/5%";"R-EU_0402";"0402";"R38, R39";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1nF/25V/5%";"C-EU0402";"0402";"C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"2,2K/1%";"R-EU_0402";"0402";"R25, R26, R34";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2,2nF/25V/5%";"C-EU0402";"0402";"C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2,2pF/50V";"C-EU0402";"0402";"C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"9";"220R/1%";"R-EU_0402";"0402";"R1, R8, R9, R10, R11, R12, R13, R14, R15";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
